author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@RealEagleScout;2023-12-01T12:48:52Z;0;Bustin a move, like Gregory Hines, or.. Melody Akami of Dance Fit?;fn3KWM1kuAw;True;0;0;0;0;0;0
@juliemccannon2908;2023-12-01T10:06:51Z;1;I wish I could afford a Spot. I would love to navigate him in a dog park. Ha!;fn3KWM1kuAw;True;0;0;0;0;0;0
@c431inf;2023-12-01T01:25:59Z;1;Amazing and disturbing;fn3KWM1kuAw;True;0;0;0;0;0;0
@johnluber9957;2023-11-30T20:47:03Z;3;"as far as I can tell, i see three outcomes.

we watch this in a distopian future and say, damn

we officially have no more need for humans, as the robots can now dance

or

the parties of the future will be wild.";fn3KWM1kuAw;True;0;0;0;0;0;0
@wades_world22;2023-11-30T18:28:57Z;1;just incredible;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-eg7hb7od2v;2023-11-30T17:56:54Z;0;Ну, вот  и артистов не надо.;fn3KWM1kuAw;True;0;0;0;0;0;0
@harishpadale;2023-11-30T04:42:44Z;1;"SCIENCE START DO NOT THINK OFF Countries RELATED WITH India ( Bharat ) , Europe ( Vatican City ) , USA ( America ) INCLUDING IT SELF .
THEY ARE FREE EATER'S SCIENCE START ✅ 🔙📚😢😅 😵‍💫";fn3KWM1kuAw;True;0;0;0;0;0;0
@ivabuckley-wn6ig;2023-11-29T22:16:13Z;0;Amazing, can I have one ☝️ lol;fn3KWM1kuAw;True;0;0;0;0;0;0
@CSGdesign01;2023-11-29T10:43:28Z;3;Not long now....;fn3KWM1kuAw;True;0;0;0;0;0;0
@lucianene7741;2023-11-28T22:20:33Z;2;Can you make a robot play guitar?;fn3KWM1kuAw;True;0;0;0;0;0;0
@moonshade99;2023-11-28T15:43:52Z;4;I would love to live in world with these guys;fn3KWM1kuAw;True;0;0;0;0;0;0
@barbaradinter393;2023-11-28T13:00:59Z;4;Can I have the yellow cutie❤❤❤❤🎉🎉🎉🎉🎉🎉;fn3KWM1kuAw;True;0;0;0;0;0;0
@M10158;2023-11-28T08:21:17Z;1;nice presentation with this video I love robot's!;fn3KWM1kuAw;True;0;0;0;0;0;0
@mikea1157;2023-11-27T21:09:32Z;1;Watching in person is probably a bit awkward since the robots don't need the music... just watching some robots dancing to nothing..;fn3KWM1kuAw;True;0;0;0;0;0;0
@TheAwGooner;2023-11-27T20:27:37Z;8;"1980s: “hey looking I’m doing the robot!”
2020s: *robots doing the human*";fn3KWM1kuAw;True;0;0;0;0;0;0
@technicaldifficulties2522;2023-11-27T20:19:01Z;1;Gotta love CGI...;fn3KWM1kuAw;True;0;0;0;0;0;0
@georgegf6444;2023-11-27T19:58:59Z;0;This is so smooth, it's as if animated;fn3KWM1kuAw;True;0;0;0;0;0;0
@jeremymacdonald6687;2023-11-27T09:48:28Z;6;This is what happens when nerds get bored;fn3KWM1kuAw;True;0;0;0;0;0;0
