author,updated_at,like_count,text,video_id,public,humanization,performance,autonomy,positive,neutral,negative,underestimation
@TheHalloweenHour,2023-04-28T17:41:58Z,7,cgi,fn3KWM1kuAw,True,0,0,0,0,1,0,1
@piecesofstarlight,2023-04-28T04:52:32Z,6,"""All this has happened before,""

""But the question remains. Does all of this have to happen again?""",fn3KWM1kuAw,True,0,0,0,0,1,0,
@Rogue_Zero,2023-04-28T01:03:24Z,11,These robots can dance while I look like a pig being attacked when I attempt to dance ðŸ˜‚,fn3KWM1kuAw,True,0,1,0,0,1,0,
@dismemberedguts,2023-04-27T06:40:19Z,13,"Donâ€™t fall for the dancing, these same robots will turn on you!",fn3KWM1kuAw,True,1,0,1,0,0,1,
@dismemberedguts,2023-04-27T06:39:31Z,12,This is terrifying! These same robots that you guys are dancing with will be the same robots to turn on you in the future!,fn3KWM1kuAw,True,1,0,1,0,0,1,
@mangaming1942,2023-04-26T05:58:58Z,8,This probably took so long to program. I hope the dudes who programmed this got paid a lot lol.,fn3KWM1kuAw,True,0,0,0,0,1,0,
@Devisidev,2023-04-25T14:07:45Z,5,"This always reminds me of the IMB 7094. We've gone from, in 1961, the first ever computer to sing... To 61 years later, 4 robots programmed to dance beautifully in sync, 3 of which being bipedal, and 2 of those NOT having wheels. We've gone from the FIRST SOUNDS to actual, literal dancing, in not much over half a century. God humanity is incredible.",fn3KWM1kuAw,True,1,1,0,1,0,0,
@gmel4967,2023-04-24T15:20:01Z,5,"Be VERY afraid.
Brought to you by DARPA.",fn3KWM1kuAw,True,0,0,1,0,0,1,
@LootFragg,2023-04-23T18:01:20Z,19,But can it do the robot?,fn3KWM1kuAw,True,0,0,0,0,0,0,
@kaleastudiosofficial,2023-04-23T04:12:58Z,14,Heâ€™s better at dancing than me ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,fn3KWM1kuAw,True,0,1,0,0,1,0,
@QUELBORDEL,2023-04-23T00:41:45Z,0,"Dur Ã  le croire , Il doivent etre piloter par l'homme ..?",fn3KWM1kuAw,True,0,0,0,0,0,0,
@withfootnotes,2023-04-22T03:48:15Z,10,Fuckin AMAZING!,fn3KWM1kuAw,True,0,0,0,1,0,0,
@Glidedon,2023-04-22T01:28:31Z,18,Notice all the humans are behind the bullet proof glass. Prepare!,fn3KWM1kuAw,True,0,0,1,0,0,1,
@Amadeus_2061,2023-04-21T19:48:40Z,12,Cute yet terrfeying.,fn3KWM1kuAw,True,0,0,0,1,0,1,
@SPIRITUALMANYT,2023-04-21T13:00:08Z,2,My plan after cracking NEET â¤â¤,fn3KWM1kuAw,True,0,0,0,0,0,0,
@muhsinguney6321,2023-04-21T06:08:19Z,0,Bu iÅŸi biliyosunuz,fn3KWM1kuAw,True,0,0,0,0,0,0,
@taylorzesiger8168,2023-04-21T01:33:31Z,1,WOOOOOO!!!!!!!!,fn3KWM1kuAw,True,0,0,0,1,0,0,
@Glitchbrine810,2023-04-20T21:51:42Z,10,"Just you guys wait, soon the robots will start hitting the griddy",fn3KWM1kuAw,True,0,0,1,0,0,1,
@graczpl2tozajebistykanalkjest,2023-04-20T10:50:48Z,3,i hope this second robot is named P-body,fn3KWM1kuAw,True,0,0,0,0,1,0,
@iTzzManuu23,2023-04-20T10:13:49Z,4,I love thisâ¤,fn3KWM1kuAw,True,0,0,0,1,0,0,
@percyman2959,2023-04-19T22:44:46Z,6,100% CGI. I have no proof but neither doubt,fn3KWM1kuAw,True,0,0,0,0,0,0,1
@jameshumfry1256,2023-04-19T21:31:02Z,9,God help us,fn3KWM1kuAw,True,0,0,1,0,0,1,
@whydoyoucare27,2023-04-19T06:13:19Z,10,Great until they show up and tell you to go with them to the camp and then they tell you it's shower time! No thanks!,fn3KWM1kuAw,True,1,0,1,0,0,1,
@phree8866,2023-04-18T21:14:07Z,5,This is great!,fn3KWM1kuAw,True,0,0,0,1,0,0,
@DoktrDub,2023-04-18T19:06:39Z,18,They gonna do this dance on our graves some day.. and tbh I wonâ€™t even be mad.,fn3KWM1kuAw,True,1,0,1,0,0,1,
@leana.simounet3408,2023-04-18T16:29:09Z,0,ðŸ‘‰ðŸ‘ˆâ˜ºï¸ðŸ˜ðŸ˜ðŸ‘ðŸ‘ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,fn3KWM1kuAw,True,0,0,0,0,0,0,
@Istoeumapemba,2023-04-18T04:50:20Z,2,"â™« Ora, ora, se nÃ£o sÃ£o/As consequÃªncias/Das minhas prÃ³prias/Atitudes â™«",fn3KWM1kuAw,True,0,0,0,0,0,0,
@familywu3869,2023-04-17T19:15:30Z,2,Excellent!,fn3KWM1kuAw,True,0,0,0,1,0,0,
@RockPaperHammer,2023-04-17T14:56:02Z,4,"I watch this often and it always makes me smile.  But early spot was a bit creepy, like a robot  youâ€™d expect in Alien.",fn3KWM1kuAw,True,0,0,0,0,1,0,
@GuardianTiger,2023-04-17T07:30:10Z,5,Spot was killing it haha!,fn3KWM1kuAw,True,0,0,0,1,0,0,
@xplodingkatz,2023-04-15T22:38:35Z,10,This is probably fine,fn3KWM1kuAw,True,0,0,0,0,1,0,
@VictorStokes1963,2023-04-15T21:04:34Z,6,Why do they not have hands,fn3KWM1kuAw,True,0,0,0,0,1,0,
@isaachester8475,2023-04-15T10:40:12Z,308,The fact that we are living in a world where robots can do this is mind boggling,fn3KWM1kuAw,True,0,0,0,0,1,0,
@fr9714,2023-04-15T02:19:06Z,6,Amazing tech. We are truly so advanced that we can create such lifelike robots. This is the future and the jobs of future - advanced AI and robotics that can do things for us and explore the universe,fn3KWM1kuAw,True,0,1,0,1,0,0,
@rocket_goblin7755,2023-04-14T21:54:05Z,38,"Remember, aim for the joints",fn3KWM1kuAw,True,0,0,0,0,0,0,
@johndoe-bq1xt,2023-04-14T20:23:31Z,6,Scary - NO AI !,fn3KWM1kuAw,True,0,0,1,0,0,1,
@amt3735,2023-04-14T13:00:08Z,18,The road to hell is paved with good intentions,fn3KWM1kuAw,True,0,0,1,0,0,1,
@marielarsen8800,2023-04-14T08:52:08Z,5,"Boy, if you thought computers brought homelessness to middle class humans before see what these guys plus AI will cause!! And Don't forget to cancel social security!",fn3KWM1kuAw,True,0,0,1,0,0,1,
@jokujoe,2023-04-13T17:44:52Z,17,Anyone that thinks its CG you can literally go and see the robots dance in real life its allready happened at concerts etc in SK,fn3KWM1kuAw,True,0,0,0,0,1,0,
@marxtl3842,2023-04-13T06:02:49Z,0,ðŸ˜‚the best,fn3KWM1kuAw,True,0,0,0,0,0,0,
@pedroaugustoroque7935,2023-04-12T16:21:40Z,0,ora ora se nÃ£o sÃ£o,fn3KWM1kuAw,True,0,0,0,0,0,0,
@mdreza1687,2023-04-12T02:07:46Z,1,Me when l dance,fn3KWM1kuAw,True,0,0,0,0,1,0,
@Huskel,2023-04-11T10:37:00Z,9,"Amazing to see, I remember watching robot footage about a year or so ago and the robots could barely move fluidly, and now theyâ€™re a better dancer than me. Truly amazing",fn3KWM1kuAw,True,0,0,0,1,0,0,
@internetuser4210,2023-04-10T08:53:14Z,16,When you finally take over those pesky humans:,fn3KWM1kuAw,True,1,0,1,0,0,1,
@judith4361,2023-04-09T23:09:37Z,7,it aint cgi,fn3KWM1kuAw,True,0,0,0,0,1,0,
@RustySFM,2023-04-08T16:12:21Z,20,"HOW IS THIS NOT CG, the robots move so smooth and lifelike its really hard to believe this is real",fn3KWM1kuAw,True,0,0,0,0,1,0,
@BobaGotFett,2023-04-08T15:39:20Z,13,"Honestly, look at how they move. It's better than the best white person dancing",fn3KWM1kuAw,True,0,0,0,0,1,0,
@glowpunk,2023-04-08T08:08:40Z,10,Time to start stocking up on very powerful magnets ðŸ§²,fn3KWM1kuAw,True,0,0,1,0,0,1,
@edroblesjr2607,2023-04-08T03:28:11Z,5,AMAZING and GOD DAMN SCARY.,fn3KWM1kuAw,True,0,0,0,1,0,1,
@Joemama-sh4ex,2023-04-08T03:13:54Z,2,So fucking cool,fn3KWM1kuAw,True,0,0,0,0,0,1,
@MsCAThrash,2023-04-07T22:35:33Z,2,You guys are awesome!!!,fn3KWM1kuAw,True,1,0,0,1,0,0,
@WG-tt6hk,2023-04-07T20:33:57Z,8,"The Boston Dynamics' robots are controlled by technicians holding hand held controllers , while standing out of camera range. However,  what will happen when (not if) they are  made to be self controlled with something akin to ChatGPT?   Hint: ""I'll be back."" ðŸ˜Ž",fn3KWM1kuAw,True,1,0,1,0,0,1,
@fishifritz,2023-04-06T21:47:33Z,1,The Cylons are Coming!!!!,fn3KWM1kuAw,True,0,1,1,0,0,1,
@fleurcode,2023-04-06T19:16:29Z,3,Ora ora,fn3KWM1kuAw,True,0,0,0,0,1,0,
@thejonycrash,2023-04-06T13:40:46Z,6,It's so good it looks like CGI.,fn3KWM1kuAw,True,0,0,0,0,1,0,
@carolsmith3485,2023-04-05T17:48:27Z,2,Just amazing!,fn3KWM1kuAw,True,0,0,0,0,0,1,
@frogman7918,2023-04-05T07:22:06Z,7,Every guys dream is to have a robot as a friend ðŸ¤©,fn3KWM1kuAw,True,1,0,0,1,0,0,
@pretender-OM,2023-04-04T21:01:28Z,1,Ð¡ÑƒÐ¿ÐµÑ€!!! ÐžÐ±Ð¾Ð¶Ð°ÑŽ ÐÑ‚Ð»Ð°ÑÐ° Ð¸ Ð¡Ð¿Ð¾Ñ‚Ð¸. ðŸ˜€â¤â¤â¤ðŸ‘ðŸ‘ðŸ‘,fn3KWM1kuAw,True,0,0,0,0,0,0,
@patricklenert,2023-04-04T20:41:31Z,4,We maybe have 10 more years,fn3KWM1kuAw,True,1,0,1,0,0,1,
@Rezi59450,2023-04-04T06:01:54Z,14,Robot after killed all human :,fn3KWM1kuAw,True,1,0,1,0,0,1,
@sofilove...20,2023-04-02T20:31:22Z,4,I didn't have heart...:Dhahshs I gotta feeling...,fn3KWM1kuAw,True,1,0,0,1,0,0,
@damonedrington3453,2023-04-02T17:57:23Z,14,Me and the boys when the computer scientist working a 20 hour shift forgets to program us with Azimovâ€™s three laws of robotics,fn3KWM1kuAw,True,0,0,0,0,1,0,
@paulwiebe8448,2023-04-02T14:09:37Z,0,just a bunch of groovy ?>??>???,fn3KWM1kuAw,True,0,0,0,0,1,0,
@auroraremote2104,2023-04-02T02:45:10Z,5,I frickin love these robots. Roll it again! lol.,fn3KWM1kuAw,True,0,0,0,1,0,0,
