author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@trollingisasport;2023-09-14T13:01:21Z;6;They'll soon be dancing on our graves.;fn3KWM1kuAw;True;0;0;0;0;0;0
@tykamen5588;2023-09-14T12:28:09Z;7;Yes they can dance but...can they love?;fn3KWM1kuAw;True;0;0;0;0;0;0
@TheSeabornGaming;2023-09-14T05:56:33Z;3;Still one of my absolute favorite videos. It so cute.;fn3KWM1kuAw;True;0;0;0;0;0;0
@Mid-no3pk;2023-09-14T03:14:41Z;3;put an ar15 on it;fn3KWM1kuAw;True;0;0;0;0;0;0
@Acudit;2023-09-14T02:59:10Z;11;"This comment section is all over the place.
""I love them!""
""Marry me! I love you too!""
""This is terrifying!""
""FAKE!"" (Debunked by the Corridor Crew btw)
""What a masterpiece of engineering!""
And of course ""Doomsday is coming. Be prepared. The end is nigh! The robot uprising is upon us!""";fn3KWM1kuAw;True;0;0;0;0;0;0
@unpeople;2023-09-14T02:58:25Z;4;"This is the first video I've ever added to both my ""dance"" and ""technology"" playlists. On a side note, I'm a bit disgusted that all of these robots, including the ""dog"", dance way better than I do.";fn3KWM1kuAw;True;0;0;0;0;0;0
@TheGreyBird71;2023-09-13T18:56:02Z;5;If we put chat gpt into these things humanity is fucked;fn3KWM1kuAw;True;0;0;0;0;0;0
@michaelponcheri3717;2023-09-13T04:08:03Z;4;I love Boston dynamics they make the coolest stuff and this might be my favorite video on YouTube!!😁;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-mj9cd5ww7p;2023-09-13T03:44:14Z;1;scarry;fn3KWM1kuAw;True;0;0;0;0;0;0
@jaskiratgebi3828;2023-09-13T02:48:36Z;4;Omg I love this so much I'm crying. The shock absorption is incredible;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-cj9cl9fg1y;2023-09-13T01:12:25Z;0;Вот теперь голову ломаю: это роботы или монтаж с помощью нейросетей?;fn3KWM1kuAw;True;0;0;0;0;0;0
@andrewsorrentino1235;2023-09-13T00:05:34Z;2;Wake up and smell the coffee this is wrong they literally made movies about this stuff wake up;fn3KWM1kuAw;True;0;0;0;0;0;0
@ElchinRahmanov;2023-09-12T19:51:14Z;7;yes i do;fn3KWM1kuAw;True;0;0;0;0;0;0
@scootergirl3662;2023-09-12T17:55:03Z;7;Yes, yes I love you.;fn3KWM1kuAw;True;0;0;0;0;0;0
@MichMeister16;2023-09-12T16:35:59Z;6;😍;fn3KWM1kuAw;True;0;0;0;0;0;0
@RagnarNomad;2023-09-12T12:59:58Z;3;Amazing yet at the same time eerily scary...I felt strong chill along my spine watching this!;fn3KWM1kuAw;True;0;0;0;0;0;0
@alissiafiorentini6843;2023-09-12T10:55:22Z;2;yes, i love you little bot;fn3KWM1kuAw;True;0;0;0;0;0;0
@trenvert123;2023-09-12T05:56:29Z;7;I was jamming along with the human-like movements, and then this moment happened at 1:37 and it shattered the illusion for me, as no human could raise their leg up like that without having to redistribute weight for balance. I was reminded that they are just machines created for a purpose that I have no clue about. Kind of hard to smile when you can envision them marching down streets, demanding entrance into our homes.;fn3KWM1kuAw;True;0;0;0;0;0;0
@ricardomonteiro6450;2023-09-12T00:58:48Z;3;That's right. So cute! Keep playing. The end will be nice. For all of us.......;fn3KWM1kuAw;True;0;0;0;0;0;0
@windowsbear;2023-09-11T23:25:41Z;2;fake and gay;fn3KWM1kuAw;True;0;0;0;0;0;0
@NewTrick2D;2023-09-11T20:33:29Z;0;wtf;fn3KWM1kuAw;True;0;0;0;0;0;0
@tmdy;2023-09-11T19:13:08Z;0;The yellow one oddly reminds me of the demogorgon dogs (demodogs) from Stranger Things.;fn3KWM1kuAw;True;0;0;0;0;0;0
@lisabendoris8376;2023-09-11T15:30:49Z;2;These guys <-(the robots) never fail to make us smile😁;fn3KWM1kuAw;True;0;0;0;0;0;0
@Okami_kawaii_pwp;2023-09-11T14:14:14Z;0;When los técnicos no estan en casa xD :;fn3KWM1kuAw;True;0;0;0;0;0;0
@Andy_Holmes;2023-09-11T06:57:00Z;0;2x speed is kind of freaky.;fn3KWM1kuAw;True;0;0;0;0;0;0
@gio-jk3bt;2023-09-10T12:09:05Z;3;la cosa più bella che abbia mia visto;fn3KWM1kuAw;True;0;0;0;0;0;0
@GratisArt;2023-09-10T10:58:39Z;5;New genre of art - robo-choreography.;fn3KWM1kuAw;True;0;0;0;0;0;0
@themodestgoddess1645;2023-09-10T10:40:08Z;1;💯🤩✅️👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾;fn3KWM1kuAw;True;0;0;0;0;0;0
@joshualandin6559;2023-09-10T09:45:49Z;7;I love technology. 😁;fn3KWM1kuAw;True;0;0;0;0;0;0
@Mary-re4tl;2023-09-10T08:09:03Z;4;Spot steals the show every time <3;fn3KWM1kuAw;True;0;0;0;0;0;0
@nobotty6243;2023-09-09T22:24:11Z;4;This is a friggin great video.;fn3KWM1kuAw;True;0;0;0;0;0;0
