author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@GrandmaLoves2Scuba;2023-07-16T02:59:36Z;2;Animatronics?;fn3KWM1kuAw;True;0;0;0;0;0;0
@TKainZero;2023-07-15T08:04:36Z;15;It has been years since this came out. And i still wonder if this is 100% real;fn3KWM1kuAw;True;0;0;0;0;0;0
@Co-Devs;2023-07-14T22:44:28Z;1;que coisa interessante;fn3KWM1kuAw;True;0;0;0;0;0;0
@michaelzhang1921;2023-07-14T15:27:11Z;1;should be on agt;fn3KWM1kuAw;True;0;0;0;0;0;0
@zacharydutcher3586;2023-07-14T00:21:15Z;3;Is this a joke? I was literally told not to come back.;fn3KWM1kuAw;True;0;0;0;0;0;0
@adel_pommel;2023-07-12T07:19:12Z;7;"Praise the Omnissiah. 
⚙️⚙️⚙️⚙️";fn3KWM1kuAw;True;0;0;0;0;0;0
@Od4n;2023-07-11T22:37:15Z;1;Merry Christmas;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-di5cx4hk1w;2023-07-11T20:38:03Z;6;Lol the huge robot just twerking in the background;fn3KWM1kuAw;True;0;0;0;0;0;0
@benhayward7706;2023-07-11T01:53:25Z;2;This is joy, in a robotics sense u guess;fn3KWM1kuAw;True;0;0;0;0;0;0
@benhayward7706;2023-07-11T01:44:49Z;2;Bot or bit, it's got the moves;fn3KWM1kuAw;True;0;0;0;0;0;0
@johanstam3224;2023-07-10T14:56:50Z;1;Still no musichrights?;fn3KWM1kuAw;True;0;0;0;0;0;0
@ricferr6945;2023-07-09T10:19:25Z;2;this is all fake,;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-ne3gu5mp7m;2023-07-08T12:53:41Z;3;꼭 영화 속 한 장면같다!;fn3KWM1kuAw;True;0;0;0;0;0;0
@LeuchTe_StriKe;2023-07-07T21:15:17Z;2;ähm, no. absolutly Bullshit.;fn3KWM1kuAw;True;0;0;0;0;0;0
@vesselwithagun3543;2023-07-07T11:30:26Z;19;Sort by newest comments to see people claiming this is fake.;fn3KWM1kuAw;True;0;0;0;0;0;0
@ankitnmnaik229;2023-07-07T05:54:37Z;6;R.I.P humanity..;fn3KWM1kuAw;True;0;0;0;0;0;0
@jonesroy;2023-07-07T04:21:21Z;2;I would love to see this on agt;fn3KWM1kuAw;True;0;0;0;0;0;0
@josephwarren3498;2023-07-04T23:27:50Z;6;I know what you're doing, BD. For the last several months you have been anthropomorphizing your robotics by videos in order to defeat the inherent fear associated with AI. I consider your efforts both duplicitous and ironically effective: They're sooo cute. Don't let them take over, though.;fn3KWM1kuAw;True;0;0;0;0;0;0
@frenchishard;2023-07-04T19:56:49Z;1;Respect !!! It's magic and i love you !!! 🥰;fn3KWM1kuAw;True;0;0;0;0;0;0
@experimenter19;2023-07-04T07:36:59Z;5;I wounded how many of these its Fake/ Bad CGI comments I see are just trolls 😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@eresunaestrellahermosa;2023-07-04T06:30:12Z;1;🤣;fn3KWM1kuAw;True;0;0;0;0;0;0
@StarkeyatRingo;2023-07-03T19:41:46Z;3;"it would be more interesting to watch this if they were encased in fake flesh
and you can certainly see, how these guys can become great screwing machines for the hormonally driven.";fn3KWM1kuAw;True;0;0;0;0;0;0
@user-bv8hi1so5o;2023-07-03T17:59:13Z;8;When you realized that the robots can dance better than you;fn3KWM1kuAw;True;0;0;0;0;0;0
@asundelgun3487;2023-07-02T23:09:39Z;4;Gucci mane is what they need to be dancing to;fn3KWM1kuAw;True;0;0;0;0;0;0
@VdubT4;2023-07-01T15:49:19Z;15;Surely people realise this is fake cgi? Particularly after what we’ve seen since 2020.;fn3KWM1kuAw;True;0;0;0;0;0;0
@4_Tomorrow;2023-07-01T15:39:07Z;4;Magnificent 🌐⭐;fn3KWM1kuAw;True;0;0;0;0;0;0
@thejoker1979666;2023-07-01T01:23:35Z;4;"Super cute! Love it! This makes it easier to face a future without any means to have an income. 
Looking forward to going extinct. Will go into oblivion with a smile on my face.
You techies are the best! Working hard to make 99% of human population useless and without meaning. Very bright future.";fn3KWM1kuAw;True;0;0;0;0;0;0
@pratikranjane683;2023-06-30T19:53:42Z;3;this is real wholesome mannn😅;fn3KWM1kuAw;True;0;0;0;0;0;0
@JacoboRendon;2023-06-30T03:46:30Z;1;hay canciones que te teletransportan a lugares y situaciones,, recuerdo como si fuera ayer,, estar alla, al lado tuyo,, sintiendome el hombre mas afortunado de el planeta tierra, mirandote,, tomando tu mano,, desayunando el mejor desayuno de mi vida, preparado por ti,, tomando tu mano, y besandote cada minuto,,,,, te ame como no he amado a nadie mas en toda mi existencia,, gracias por esos pocos momentos,,, que aunque no fueron reales,, para mi siguen siendo y siempre seran el CIELO,,  LAP... estaras siempre en mi corazon,,,;fn3KWM1kuAw;True;0;0;0;0;0;0
@OcalaBrew;2023-06-29T23:12:25Z;4;Do they wash dishes, vacuum and mop floors?  Pressure wash the house?  Seriously, I think this is fabulous!  Bravo!;fn3KWM1kuAw;True;0;0;0;0;0;0
@Grumm-Nation;2023-06-29T07:16:37Z;9;People say this is fake, its not and I wish to hear why it is, because you cannot say, we don't have the tech, and you cannot bring in religion into this since we have the tech, and no one said we cannot make machines like these.;fn3KWM1kuAw;True;0;0;0;0;0;0
@shizzydeep6867;2023-06-27T00:00:34Z;17;Cute until it's ripping your heart out of your chest.;fn3KWM1kuAw;True;0;0;0;0;0;0
@hermosafieldsforever4782;2023-06-26T17:46:34Z;7;They are so cute! Isn't it wonderful! Just think what an evil regime might plan for the next dance?😢;fn3KWM1kuAw;True;0;0;0;0;0;0
@robertdowner2328;2023-06-25T13:57:06Z;14;They will start out by taking over humanity, then after we are all dead they will break out in dance just like this lol.;fn3KWM1kuAw;True;0;0;0;0;0;0
@annasoldani9642;2023-06-25T11:51:21Z;1;Desidero Ringraziare 😊Mille Complimenti a chi Rende Possibile una Magnificenza Tale🙏🖐️✌️👍;fn3KWM1kuAw;True;0;0;0;0;0;0
@Bloodfencer1990;2023-06-25T10:56:48Z;17;2 years later and I still love to watch this to cheer me up.;fn3KWM1kuAw;True;0;0;0;0;0;0
@greatestsqurriel1304;2023-06-25T06:25:12Z;2;I can't wait they made a feminine robot,  and than M3gan will come true, Incredible how the hardware can represent the software movement so perfectly, seems so human kind. Literally i don't know what would do an ai by now days with these of feature and capabilities of the robots we can see here.;fn3KWM1kuAw;True;0;0;0;0;0;0
@joshsmith3219;2023-06-24T22:52:50Z;3;I am really curious what shutter speed was this shoot at.;fn3KWM1kuAw;True;0;0;0;0;0;0
@jeanniebilliejean;2023-06-23T22:19:58Z;1;Fancy footwork indeed;fn3KWM1kuAw;True;0;0;0;0;0;0
